CBO before,CBO after,,WMC before,WMC after,,DIT before,DIT after,,NOC before,NOC after,,LCOM5 before,LCOM5 after,,CC before,CC after,,loc before,loc after,,LLOC before,LLOC after,,RFC before,RFC after,,CLOC before,CLOC after,,NOA before,NOA after,,NPM before,NPM after
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,39,5,,34,5,,26,9,,2,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,39,18,,34,17,,26,4,,2,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,63,11,,53,9,,26,4,,4,7,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,4,12,,4,12,,26,9,,0,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0,0.653846,,4,19,,4,19,,26,4,,0,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,19,12,,17,12,,26,9,,0,0,,4,5,,10,10
4,2,,17,10,,4,5,,2,1,,1,1,,0,0.653846,,19,19,,17,19,,26,7,,0,0,,4,5,,10,12
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,32,7,,27,7,,26,4,,1,0,,4,5,,10,10
4,1,,17,10,,4,5,,2,1,,1,1,,0,0,,32,7,,27,7,,26,6,,1,0,,4,5,,10,12
4,2,,17,7,,4,5,,2,1,,1,1,,0,0,,32,7,,27,7,,26,9,,1,0,,4,5,,10,12
4,1,,17,14,,4,5,,2,6,,1,3,,0.418429,0,,103,7,,79,7,,26,9,,17,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0.418429,0,,103,7,,79,7,,26,9,,17,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0.418429,0,,103,7,,79,7,,26,4,,17,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0.466009,0,,144,7,,115,7,,26,4,,8,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0.466009,0,,144,7,,115,7,,26,9,,8,0,,4,5,,10,10
4,1,,17,4,,4,5,,2,1,,1,0,,0.466009,0,,144,7,,115,7,,26,4,,8,0,,4,5,,10,10
4,1,,17,14,,4,5,,2,5,,1,3,,0,0,,13,13,,12,10,,26,9,,8,5,,4,5,,10,10
4,2,,17,10,,4,5,,2,1,,1,1,,0,0,,38,10,,27,8,,26,7,,10,1,,4,5,,10,12
4,1,,17,4,,4,5,,2,1,,1,0,,0,0,,38,10,,27,8,,26,4,,10,1,,4,5,,10,10
